instrument_id,symbol,market,asset_class,source,added_on,active,price_eligible,price_source,inactive_on
3TAEl_EQ,3TAEl,,EQ,trading212,2025-12-26,True,False,none,
3TSEl_EQ,3TSEl,,EQ,trading212,2025-12-26,True,False,none,
3TYLm_EQ,3TYLm,,EQ,trading212,2025-12-26,True,False,none,
3TYSm_EQ,3TYSm,,EQ,trading212,2025-12-26,True,False,none,
3U6d_EQ,3U6d,,EQ,trading212,2025-12-26,True,False,none,
3UBEl_EQ,3UBEl,,EQ,trading212,2025-12-26,True,False,none,
3UBSm_EQ,3UBSm,,EQ,trading212,2025-12-26,True,False,none,
3USLl_EQ,3USLl,,EQ,trading212,2025-12-26,True,False,none,
3USLm_EQ,3USLm,,EQ,trading212,2025-12-26,True,False,none,
3USSl_EQ,3USSl,,EQ,trading212,2025-12-26,True,False,none,
3USSm_EQ,3USSm,,EQ,trading212,2025-12-26,True,False,none,
3UXd_EQ,3UXd,,EQ,trading212,2025-12-26,True,False,none,
3V64d_EQ,3V64d,,EQ,trading212,2025-12-26,True,False,none,
3VTEl_EQ,3VTEl,,EQ,trading212,2025-12-26,True,False,none,
3WHLl_EQ,3WHLl,,EQ,trading212,2025-12-26,True,False,none,
3WHLm_EQ,3WHLm,,EQ,trading212,2025-12-26,True,False,none,
3XEEl_EQ,3XEEl,,EQ,trading212,2025-12-26,True,False,none,
3XFEl_EQ,3XFEl,,EQ,trading212,2025-12-26,True,False,none,
45Cd_EQ,45Cd,,EQ,trading212,2025-12-26,True,False,none,
45Td_EQ,45Td,,EQ,trading212,2025-12-26,True,False,none,
47Vd_EQ,47Vd,,EQ,trading212,2025-12-26,True,False,none,
480Se_EQ,480Se,,EQ,trading212,2025-12-26,True,False,none,
485d_EQ,485d,,EQ,trading212,2025-12-26,True,False,none,
48Zd_EQ,48Zd,,EQ,trading212,2025-12-26,True,False,none,
49Vd_EQ,49Vd,,EQ,trading212,2025-12-26,True,False,none,
49Zd_EQ,49Zd,,EQ,trading212,2025-12-26,True,False,none,
4AB1d_EQ,4AB1d,,EQ,trading212,2025-12-26,True,False,none,
4BRZs_EQ,4BRZs,,EQ,trading212,2025-12-26,True,False,none,
4BWd_EQ,4BWd,,EQ,trading212,2025-12-26,True,False,none,
4BYd_EQ,4BYd,,EQ,trading212,2025-12-26,True,False,none,
4COPd_EQ,4COPd,,EQ,trading212,2025-12-26,True,False,none,
4DSd_EQ,4DSd,,EQ,trading212,2025-12-26,True,False,none,
4GEd_EQ,4GEd,,EQ,trading212,2025-12-26,True,False,none,
4GLDd_EQ,4GLDd,,EQ,trading212,2025-12-26,True,False,none,
4I1d_EQ,4I1d,,EQ,trading212,2025-12-26,True,False,none,
4LRAd_EQ,4LRAd,,EQ,trading212,2025-12-26,True,False,none,
4OQ1d_EQ,4OQ1d,,EQ,trading212,2025-12-26,True,False,none,
4PNd_EQ,4PNd,,EQ,trading212,2025-12-26,True,False,none,
4RTDd_EQ,4RTDd,,EQ,trading212,2025-12-26,True,False,none,
4RTRd_EQ,4RTRd,,EQ,trading212,2025-12-26,True,False,none,
4UB1d_EQ,4UB1d,,EQ,trading212,2025-12-26,True,False,none,
4UBBd_EQ,4UBBd,,EQ,trading212,2025-12-26,True,False,none,
